ද,97770
ය,93064
මේ,74519
ඒ,72747
හා,66889
ම,53503
බව,40530
නම්,34595
දී,32032
සඳහා,31268
යි,30539
සහ,28439
ලෙස,28436
හෝ,28211
ඇත,28043
නිසා,26541
මෙම,25533
ව,22839
ගැන,22468
විසින්,21959
විට,21393
එම,21131
තුළ,21063
කොට,20133
යුතු,19873
වශයෙන්,19360
නො,19111
පිළිබඳ,15951
අනුව,14756
එහෙත්,14505
පසු,14007
එක්,13274
මෙන්,12374
සිට,11752
නැත,11531
වැනි,11170
නෑ,11068
වඩා,10952
බොහෝ,10874
ඉතා,10765
නැහැ,9960
තවත්,9915
බවට,9755
පමණක්,9378
යම්,9276
සමඟ,9193
මත,9130
සේ,8563
නමුත්,8447
පෙර,8344
මහා,8110
වෙත,7998
පමණ,7972
සමග,7674
නොවේ,7461
මගින්,7403
දක්වා,6994
නොව,6657
සියලු,6295
යැයි,6253
ඇතැම්,6233
යනු,6231
වෙනත්,5902
හැම,5815
පිණිස,5785
පටන්,5650
සහිත,5389
හරි,5315
ඇතුළු,5227
වගේ,5159
පරිදි,5150
පවා,4988
තව,4909
සමහර,4843
තමයි,4809
පසුව,4465
සෑම,4429
යටතේ,4397
වෙනුවෙන්,4337
එනම්,4221
ඒත්,4161
වෙන,4071
බැවින්,4033
පහළ,3791
වඩාත්,3774
හැර,3770
පිට,3763
එවැනි,3740
කිසි,3718
ආ,3678
ඉහළ,3614
අනෙක්,3590
තුළින්,3549
එක්ක,3516
ආදී,3503
මුළු,3442
පැවති,3402
සම්බන්ධයෙන්,3339
ඔය,3330
වත්,3224
පමණි,3172
වෙන්,3148
පුරා,3138
ඕනෑ,3073
එපා,3025
එවිට,3010
හෙවත්,2981
යනුවෙන්,2890
මෙවැනි,2799
ඔව්,2763
ඉතින්,2753
ටික,2744
ඉහත,2651
කරා,2603
කිසියම්,2596
ඇයි,2575
කිසිම,2551
අර,2500
හෙයින්,2479
කිසිදු,2412
හට,2385
අනික්,2382
ඉදිරියට,2354
තෙක්,2349
වෙනුවට,2239
හැටියට,2217
යට,2180
දැයි,2169
මොකද,2130
මඟින්,2115
බැව්,2099
අන්,2065
ඕන,2026
ළඟ,2010
යුත්,1973
හරහා,1970
අසල,1961
බැහැර,1953
හොත්,1931
එක්තරා,1924
උඩ,1893
අයුරින්,1873
කල්හි,1853
අයුරු,1845
නොයෙක්,1844
අතරින්,1798
කවර,1785
වනාහි,1773
ඔස්සේ,1772
නැත්නම්,1717
උදෙසා,1705
යුක්ත,1658
නේද,1656
බැහැ,1654
මිස,1653
හැටි,1584
වටා,1553
බෑ,1541
එතරම්,1526
තවදුරටත්,1512
තුරු,1496
ඉදිරියේ,1493
හරියට,1459
එබඳු,1429
නැද්ද,1429
අනේ,1424
මොන,1365
අවට,1345
ඉතාමත්,1339
එතකොට,1333
අනෙකුත්,1328
ඈත,1325
මෙබඳු,1311
ලත්,1311
තුළට,1299
කොහොමද,1296
කුමන,1286
ලෙසින්,1284
බඳු,1280
ඕනෑම,1256
සහගත,1233
ළඟට,1214
වෙතට,1177
වැනිදා,1173
ඕනෙ,1170
තිස්සේ,1148
සැටි,1144
බැගින්,1110
සෙසු,1094
බොහොම,1088
කොතරම්,1079
ඇතත්,1068
යනුවෙනි,1062
කොයි,1060
උප,1046
යැ,1035
කෙතරම්,1033
ඕ,1028
අනිත්,1003
ඔන්න,992
නැතහොත්,981
විතරක්,979
සේක,977
කවුද,952
හුඟක්,944
නැතැයි,942
පස්සේ,919
නිසාම,914
සැම,896
පිටත,879
නැතිනම්,865
හරිම,856
මොනවා,852
අන්න,843
නොහොත්,840
සම්බන්ධව,829
මෙනි,828
විටෙක,817
දිගේ,814
මොකක්ද,813
ඉදින්,806
එමගින්,799
කිහිප,798
එහෙනම්,791
නමුදු,775
මන්ද,768
දිගට,766
ලෙසට,762
අතුරින්,761
හැබැයි,756
සඳ,755
තවද,745
සමගම,745
මොනවද,740
එවන්,729
කොච්චර,722
කීප,721
වස්,711
මෙන්න,709
අන්දමින්,701
වේවා,701
වෙනි,697
වෙතින්,692
මෙවන්,690
හුදෙක්,689
නොමැතිව,685
ඉවත,673
ඉහළින්,673
විතර,672
නොයෙකුත්,667
විටම,667
එහා,655
අන්‍ය,651
පහළට,646
නිසාත්,646
වාගේ,639
යටින්,634
වන්,625
පිටතට,620
අතරට,604
කවුරු,599
අතරම,597
ඇත්නම්,596
පාහේ,596
පිටින්,589
රහිත,587
අරබයා,585
වෙනම,584
දැනටමත්,583
ඉහළට,579
මෑත,578
උඩට,575
කෝ,573
තාක්,570
ආශ්‍රිතව,560
යම්කිසි,552
අතරේ,545
ඇතුළට,531
පෙරේදා,520
දෙපස,509
අතිශය,505
විටක,500
පුරාම,492
ඉදිරිපිට,484
මෙතන,482
මෙතරම්,472
අතුරෙන්,470
සම්පන්න,462
මැනවි,461
ල,455
මැ,448
සමඟම,448
පිටුපස,441
ඉදිරියෙන්,440
මැදින්,440
විනා,428
එතෙක්,428
ඈතින්,418
වැඩිපුර,402
පෙරට,395
පාසා,395
ලදැයි,393
මෙහා,387
පසුපස,377
හින්දා,377
නැතත්,375
කොතෙක්,368
කෙබඳු,359
වටේ,358
පරිද්දෙන්,352
අතරතුර,351
අසලට,351
මතට,347
එහාට,346
එතන,343
මෙච්චර,342
හරියටම,340
ඇතුළුව,337
අම්මේ,327
විරහිත,326
කෙළින්ම,323
දෝ,321
අසලින්,320
ළඟින්,303
ඉඳන්,293
හින්ද,283
එහෙමයි,273
මිසක්,272
කැටුව,265
මගිනි,258
හෙබි,255
එක්කෝ,250
එච්චර,249
ඉස්සරහ,237
මතින්,235
එනමුත්,235
ඉදිරිපස,233
අබියස,229
අරභයා,221
නොමිලේ,211
ඔබ්බට,203
නන්,194
යාබද,193
යටතට,190
ඇතුළේ,189
පසෙකින්,188
එවක,187
පහතට,166
පමණට,165
වනතුරු,158
හුඟ,156
ආයුබෝවන්,152
ඔච්චර,151
අපොයි,139
වෙනිදා,136
නිති,134
චී,130
සමගින්,129
ලු,128
මුලට,122
එතනට,115
නොමිලයේ,111
අයියෝ,109
කොල,106
කෙතෙක්,105
මීළඟ,105
අද්දර,100
ඔබ්බෙන්,96
අතරමග,93
සේක්වා,92
යාබදව,90
අසබඩ,87
අතරමඟ,84
නැතොත්,76
ෂා,75
අම්මෝ,68
ඔතන,67
ඔබ්බෙහි,64
සමඟින්,63
එනයින්,62
ආයි,54
විරහිතව,52
පහතින්,48
ඇතුළෙන්,46
අතන,44
මොනයම්,42
අද්දරට,23
අහා,23
මනන්,23
උසි,22
ෂික්,22
අබියසට,20
එම්බල,20
අද්දරින්,19
ඌයි,19
එහෙයි,17
හුරේ,17
අන්කිසි,16
ඔහෝ,14
ලත,14
හාපුරා,14
හින්දම,13
ආනේ,12
අප්පච්චියේ,11
අබියසින්,10
ඔතරම්,8
අඩෝ,7
උහ්,7
අඳෝමැයි,6
ඕහ්,5
කොයිබට,5
ඉතිර,4
සොඳේ,4
අඳෝ,3
චිහ්,3
දෝහෝ,3
අච්චර,2
ඌහ්,2
ෂිහ්,2
සීසී,2
කොයිබ,2
සටපට,2
අබියෙස,1
හෙලෙයියා,1
සටසට,1
