Model	Accuracy	F1-score	Recall	Precision	AUC
LR+W2V skipgram	0.793814	0.632353	0.569536	0.710744	0.732373
SVM+W2V skipgram	0.791753	0.635379	0.582781	0.698413	0.734505
NB+W2V skipgram	0.578351	0.547566	0.819536	0.411130	0.644424
RF+W2V skipgram	0.789691	0.554585	0.420530	0.814103	0.688558
LR+W2V CBOW	0.782474	0.607076	0.539735	0.693617	0.715975
SVM+W2V CBOW	0.779381	0.598499	0.528146	0.690476	0.710555
"NB+W2V CBOW "	0.569588	0.537396	0.802980	0.403830	0.633526
RF+W2V CBOW	"    0.775773"	0.497110	0.355960	0.823755	0.660765
"LR+fasttext "	"0.758763 "	"0.468182 "	"0.341060 "	"0.746377 "	0.644332
"SVM+fasttext "	"0.761340 "	"0.465975 "	"0.334437 "	"0.768061 "	0.644389
"NB+fasttext "	"0.588660 "	"0.558140 "	"0.834437 "	"0.419301 "	0.655991
"RF+fasttext "	"0.787629 "	"0.550218 "	"0.417219 "	"0.807692 "	0.686154