Daatset	Accuracy	F1-score	Recall	Precision	AUC
df_A	0.824317	0.679812	0.599338	0.785249	0.762646
df_B	0.840861	0.848120	0.815815	0.883090	0.843317
df_C	0.900943	0.761364	0.676768	0.870130	0.822999
df_D	0.668203	0.586207	0.512563	0.684564	0.656281
df_A_B	0.817638	0.768876	0.710976	0.837042	0.803991
df_A_C	0.821489	0.652961	0.564723	0.773879	0.747443
df_A_D	0.791579	0.645669	0.561644	0.759259	0.735338
df_A_B_C	0.828725	0.772487	0.713629	0.841927	0.810749
df_A_B_D	0.811127	0.761792	0.702556	0.831938	0.797772
df_A_C_D	0.798785	0.637942	0.549889	0.759571	0.733542
df_all	0.818762	0.761077	0.700206	0.833538	0.801062