Steps	Accuracy	F1-score	Recall	Precision	AUC
baseline	0.802029	0.749589	0.694512	0.814153	0.788272
seperator	0.811134	0.763209	0.713415	0.820477	0.798631
url	0.802549	0.750082	0.694512	0.815319	0.788726
mention	0.802810	0.750494	0.695122	0.815451	0.789031
number	0.801249	0.748187	0.692073	0.814204	0.787280
non_sinhala	0.802549	0.750247	0.695122	0.814868	0.788804
special_characters	0.802810	0.750494	0.695122	0.815451	0.789031
puntuation	0.818158	0.773567	0.728049	0.825155	0.806629
puntuation_special	0.815036	0.769828	0.725000	0.820566	0.803516
emoji_remove	0.801769	0.748846	0.692683	0.814921	0.787812
stop_word	0.805931	0.755089	0.701220	0.817923	0.792534
stem	0.793444	0.740353	0.690244	0.798307	0.780240
custom_stem	0.808533	0.760417	0.712195	0.815642	0.796206
Final	0.826483	0.784908	0.742073	0.832991	0.815683